,name,price,type,품명 및 모델명,색상,재질,제조사,제조국,사용연령 또는 체중범위,출시년월,"취급방법 및 취급시 주의사항, 안전표시 (주의, 경고 등)","크기, 중량",KC 인증 필 유무,품질보증기준,A/S 책임자,구성품,크기,수입식품안전관리특별법에 따른 수입신고,"법에 의한 인증, 허가 등을 받았음을 확인할 수 있는 경우 그에 대한 사항",A/S 책임자와 전화번호 또는 소비자상담 관련 전화번호,정격전압/소비전력,"크기,무게",주요 사양,종류,소재,치수,취급시 주의사항,제품 소재,제품구성,세탁방법/취급시 주의사항,도서명,저자,출판사,쪽수,출간일,목차 또는 책소개,품목 및 제품명,용도 및 제형,제조연월 및 유통기한,"중량, 용량, 매수","효과,효능",제조국 및 제조사,어린이 보호포장 대상 제품 유무,제품에 사용된 화학물질 명칭,사용상 주의사항,신고번호 또는 승인번호,소비자 상담 관련 전화번호,품명,주요 소재,배송 설치 비용,"크기,중량",상품별 세부사양
73,"""크리스마스 선물"" 춤추는 댄싱 트리 인형 크리스마스 선물 쓸모없는 재미있는친구 집들이 수능 응원 선물","23,900원",funny,춤추는 댄싱 트리,,,바시움플라워 협력사,중국,,,,,,,,,,,해당없음,070-4121-6313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"""귀여운 선물"" 만세 오리 인형 (40cm) 애착 인형 인테리어 소품 생일선물 쓸데없는 신박한 선물","16,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,'따뜻한 귀요미' 모찌모찌 냠냠 푸드 핫팩인형,"7,900원",funny,모찌모찌 핫팩인형,,,제조자 : 메세 / 수입자 : 메세,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,메세CS 070-7122-6004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,피곤이 싸악- 보약 양말,"9,900원",funny,피곤이 싸악- 보약 양말,,,㈜바나나코퍼레이션,중국,,,,,,,,,,,해당없음,070-7649-1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"""쓸데없는 인형쿠션"" 대형 치킨 닭다리 쿠션 55cm 베개 인형 유퀴즈 BTS 선물","12,000원",funny,대형 바퀴벌레 쿠션 95cm 바디필로우 베개,,,스투피드,상품상세설명 참조,,,,,,,,,,,해당사항 없음,02-2069-0672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"""쓸모없는 선물"" 스펀지밥 우정 커플 목걸이 생일선물 쓸데없는 신박한 선물","8,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"""금파 대란! 실속 있는 파테크"" 대파 뿌리 키우기 화분 세트","9,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,해당 사항 없음,02-502-1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,눈빛이 귀여운 캐릭터 여성 팬티,"9,900원",funny,,,,상품상세설명 참조,상품상세설명 참조,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,
81,"""홈술도 장비빨"" 카카오프렌즈 라이언 화이트골드 전통주병 세트 (톡별)","24,900원",funny,"""업그레이드 매진템"" 라이언 화이트골드 전통주병세트 (톡별)",,상품상세설명 참조,에이치앤프렌즈,상품상세설명 참조,,2020년12월,,,,구매일로부터 1년,전보라 / 031-754-7701,상품상세설명 참조,상품상세설명 참조,식품위생법에 따른 수입신고를 필함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,트럼프 머리카락 양말,"7,900원",funny,트럼프 머리카락 양말,,,바나나빌딩,상품상세설명 참조,,,,,,,,,,,해당사항없음,070-7649-1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"""귀여운 선물"" 헬멧 오리 가방 동물 애착 백팩 생일선물 쓸데없는 신박한 선물","13,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"""쓸모없는 선물 "" 반전문어 양면인형 (30cm) 생일선물 쓸데없는 신박한 선물","8,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"""쓸모없는선물"" 나의 친구 너의 친구, 평화의 상징, 반려 비둘기 구뤠잇구구와 화잇구구(feat. 태엽)","9,900원",funny,반려비둘기 구구,,,(주)엑토스인더스트리,중국,,,,,,,,,,,해당없음,02-6264-0393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"""뤂덕들 모여라"" 잔망루피 랜덤피규어 인형 Ver.2 조금더 잔망스러워진 루피 새로운시작 뤂뤂","6,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"""쓸모없는선물"" 핸드폰 미러볼 (원형구) + 아이폰, C타입, USB젠더 모두증정 = 방구석 노래방 조명","9,800원",funny,대형 바퀴벌레 쿠션 75cm 바디필로우 베개,,,스투피드,상품상세설명 참조,,,,,,,,,,,해당사항 없음,02-2069-0672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,유유자적 DUCK 오리 애착인형 바디필로우 100cm,"24,800원",funny,[토이웍스] KC정품 유유자적 DUCK 오리 애착인형 100cm,,,상품상세설명 참조,한국,,,,,,,,,,,상품상세설명 참조,'카카오챗봇 문의: https://www.whitecotton.kr/ (화이트코튼 홈페이지 카톡상담 버튼 클릭)',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"""쓸모없는 선물"" 의기소침 강아지 인형 (48cm) 쿠션 베개 애착 바디필로우 생일선물 쓸데없는 신박한 선물","13,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,우주 비행사 냥 LED 무드등,"15,900원",funny,우주 비행사 냥 LED 무드등,,,병행수입,중국,,,,,,,,,,,해당없음,032 555 9639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"""휴식과 힐링"" 바닷속을 헤엄치는 고래조명 미니 우드램프 LED큐브 돌고래 무드등","18,500원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"피로가 싸악- 제2의 심장, 발건강 지압 슬리퍼 (+보약양말증정)","16,900원",funny,피로가 싸악- 지압슬리퍼+보약양말,,,(주)바나나코퍼레이션,중국,,,,,,,,,,,해당없음,1644-7299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"""남친선물"" [쓸모없는선물] 득근하세요 머슬남 보충제소분 키링&근육머그컵SET","11,900원",funny,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,수입식품안전관리특별법에 따른 수입신고를 필함.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"""선물로 죠습니다"" 죠스 모찌 바디필로우 100cm(톡별)","33,900원",funny,,블루계열,,주식회사 한빛아이티씨,중국,,,,,,공정거래위원회 고시(소비자분쟁해결기준)에 의거하여 보상해 드립니다.,(주)한빛아이티씨 031-8028-8800,,,,,,,,,,,100cm,,겉면: 폴리에스터 100% 충전재: 폴리에스터 100%,본품1개,30도 이하의 미지근한 물에서 분리하여 손세탁/세탁기 이용시 울코스로 단독 표백제염색제 금지/ 기계건조 금지,,,,,,,,,,,,,,,,,,,,,,
95,"""따뜻한 선물"" 인어공주 니트담요 L size","19,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,New 냥냥이 삼총사 트리오 미니러그 3종택1 (톡별),"9,900원",funny,,아이보리,,한빛아이티씨,중국,,,,,,상품상세설명 참조,031-8028-8800 한빛아이티씨,,,,,,,,,,,50*80cm,,폴리에스터100%,본품1개,"울코스 단독 세탁, 기계건조 금지",,,,,,,,,,,,,,,,,,,,,,
97,"""쓸모없는 선물"" AGUCCIM 티셔츠 티 [웃긴 아구찜옷 특이한 재밌는 옷 쓸데없는 선물]","17,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"[얼굴문구각인/주문제작] ""쓸모없는 블링블링선물"" 스팽글 쿠션 40cm (7색)","32,000원",funny,,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,
99,"""친구선물"" [귀여운선물] 패션피플 그로밋인형 20cm 귀여운 강아지인형 애착인형","11,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"""쓸모없는 선물"" 인싸템 쓸데없는 슬픈 개구리 수면안대","9,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"""쓸모없는 선물"" 우산 모자 자외선 차단 낚시 인싸템 생일선물 쓸데없는 신박한 선물","7,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,대형 바퀴벌레 쿠션 55cm 바디필로우 베개,"13,000원",funny,대형 바퀴벌레 쿠션 55cm 바디필로우 베개,,,스투피드,상품상세설명 참조,,,,,,,,,,,해당사항 없음,02-2069-0672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,빅엔터 USB / 초대형 엔터키/ 낮잠쿠션/ 스트레스해소 (ID-K100),"12,900원",funny,아이디스킨 빅엔터 USB 쿠션 / ID-K100,,,제조사: YIUW LIMIT / 수입사: (주)리미트,상품상세설명 참조,,2018년 1월,,,MSIP-REI-lmt-ID-K100,소비자보호법을 따릅니다.,리미트 고객센터 042-253-3352 / 무상AS기간: 구매일로부터 3개월,,,,,,DC5V,140*200*100(mm) / 80(g),USB를 연결하여 사용하는 엔터키와 쿠션입니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"""행운이 붙는다"" 찹쌀떡 쿠션 모찌모찌 필로우 멀티베개","29,900원",funny,,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,,,,,상품상세설명 참조,AS 불가,,,,,,,,,,,"측정 위치, 재는 도구에 따라 1~3cm 오차범위",,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,
105,"""귀여운선물"" '짱구는 못말려' 피규어 벚꽃 보틀 텀블러 '짱구와 흰둥이의 봄나들이'","19,900원",funny,레토 짱구 피규어 텀블러 보틀,,,(주)레토지엠에스,중국,,,,,,,,,,,해당없음,"(주)레토지엠에스, 1544-3867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,다마고치 오리지널 25주년 한정판,"29,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"""쓸모없는선물"" [단독할인] SNS 인기템! 원조 관짝 고양이 에어팟 거치대 펜홀더 스탠드 5종세트","14,900원",funny,팬시 고양이 스탠드,,,(주)엑토스인더스트리,중국,,,,,,,,,,,해당없음,02-6264-0393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,미니 카메라 분홍 랜덤색상 3834 후레쉬 플래시 효과음 생일선물 마니또 (또래장난감),"6,900원",funny,완구,상세페이지참조,플라스틱 외 기타,유니리젠트/(주)오즈토이,상품상세설명 참조,3세이상,2019.03,파손에 주의하고 불 또는 물에 가까이 하지 말 것 파손시 안전을 위하여 아이의 손이 닿지 않게 폐기 할 것 사람이나 동물을 향해 던지지 않도록 주의할 것 건전지의 교환 등 취급은 반드시 보호자가 할 것,상세페이지참조,필/상세페이지참조,"미사용 제품에 한하여 7일이내 초기불량시 동일제품으로 교환 또는 환불, 사용한 제품의 경우 품질보증기간 없음.(유상 A/S, 제품에 따라 A/S가 불가 할 수 있음) 또래장난감 / 031-984-8621",031-984-8621 / 또래장난감,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,귀여운 동전먹는 도둑고양이 저금통 (어랏 동전이 어디갔지),"9,900원",funny,귀여운 도둑고양이 저금통,,,디자인에버,상품상세설명 참조,,,,,,,,,,,해당사항없음,디자인에버 02-2065-1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"""쓸모없는 선물"" 공주님 보석 반지 세트 코스튬 분장 생일선물 쓸데없는 신박한 선물","9,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"""비싼시계 사시계?"" 릴렉스 니트 시계 명품 럭셔리 플렉스 액세서리 생일선물 쓸데없는 신박한 선물","14,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,크와앙! 악어 슬리퍼,"19,900원",funny,크와앙! 악어 슬피러,,,㈜바나나코퍼레이션,중국,,,,,,,,,,,해당없음,070-7649-1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"""세상에서 가장 행복한 동물"" 쿼카 미니러그 발매트 2종택1","15,900원",funny,상품상세설명 참조,,,수입자 : 메세,상품상세설명 참조,,,,,,,,,,,해당없음,메세고객센터 070-7122-6004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,(당일발송/1+1) 절대 평범하지 않은 작은 눈 선글라스,"7,500원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,(1+1) LED 선글라스 이벤트 축제 클럽 인싸템 빛나는 안경,"5,900원",funny,,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,,,,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,,,,,,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,
116,"""인테리어 소품"" 만달라키 무드등 선셋 레인보우 오아시스 감성 조명 집들이 자취 신혼","13,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,[쿠션+방석 set] 귀여운 햄찌방석 햄스터쿠션 의자방석,"13,900원",funny,방석,,,젊은이마켓,상품상세설명 참조,,,,,,,,,,,해당사항없음,032-672-6046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"""쓸모없는선물"" 소두곰인형 (47cm) 동물 캐릭터 곰돌이인형 쓸데없는선물","18,900원",funny,소두곰인형 시리즈,,,젊은이마켓,중국,,,,,,,,,,,해당없음,젊은이마켓/032-672-6046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"""버터맥주 한 잔?"" 드럼통 맥주잔 나무 머그컵 코스튬 분장 생일선물 쓸데없는 신박한 선물","24,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,생일축하 이모티콘 스칸디아모스화분_4종 택1 (공기정화식물),"7,900원",funny,생일축하 이모티콘 스칸디아모스화분_4종 택1,,,(주)리빙앤유,상품상세설명 참조,,,,,,,,,,,해당없음,(주)리빙앤유 / 070-4618-5112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"""요거 어때"" 미니 마법의 고민 해결책 [mini 인생 해답 소라고동 고민 정답 책 재밌는 신박한 선물]","7,900원",funny,미니 마법의 고민 해결책,,,핑크폿,한국,,,,,,,,,,,해당사항 없음,크리에이티브크루/070-8831-4371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"""생일선물"" [생일선물] 생일축하해 미니빔프로젝터+파티선글라스SET 해피버스데이 생일 포토존 홈파티소품","5,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"""쓸모없는 선물"" 근육 시바 에어팟 케이스 키링 1/2세대 에어팟프로 이어폰 생일선물 쓸데없는 신박한 선물","11,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"""쓸모없는 선물"" 공주님 세트 코스튬 홈파티 생일선물 쓸데없는 신박한 선물","12,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,호신용 반지,"4,900원",funny,호신용 반지,,,㈜바나나코퍼레이션,중국,,,,,,,,,,,해당없음,070-7649-1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,귀차니즘을 위한 누워서 보는 안경,"10,500원",funny,귀차니즘을 위한 누워서 보는 안경,,,바나나빌딩,상품상세설명 참조,,,,,,,,,,,해당사항 없음,070-7649-1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,LED 볼캡 시선집중 쓸데없이 웃긴 빛나는 볼캡모자,"9,900원",funny,,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,,,,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,,,,,,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,
128,"""쓸모없는 선물"" 동전 먹는 움직이는 얼굴 저금통 생일선물 쓸데없는 신박한 선물","19,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,뽑아 쓰는 티슈 모자,"9,900원",funny,뽑아 쓰는 티슈 모자,,,㈜바나나코퍼레이션,중국,,,,,,,,,,,해당없음,070-7649-1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,"""너에게 무드를"" 플렌느 LED 인테리어 무드등 디퓨저 블랙체리","19,800원",funny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,
131,[정품] 스타워즈 완벽 컬리티 제다이 광선검 LED 발광 60 장우산,"69,000원",funny,,,,상품상세설명 참조,상품상세설명 참조,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,
132,"""찾았다 금쪽이"" 홈랩 금쪽이 기절베개 / 쿠션","29,800원",funny,,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,,,,,공급자적합성 확인 인증 / KC인증 완료 (KATRI 한국의류 시험연구원),상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,
133,"""쓸모없는 선물"" 엉덩이 팬티 코스튬 생일선물 쓸데없는 신박한 선물","7,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,레토 짱구는 못말려 텀블러 보틀 스테인리스 텀블러,"21,900원",funny,레토 짱구는 못말려 스테인리스 텀블러 보틀,,,(주)한일디아이,중국,,,,,,,,,,,해당없음,"(주)레토지엠에스, 1544-3867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,"""특이한 키덜트 선물"" 개틀링 비눗방울 버블건 비누 총 (4종) - 게틀링 기관총 모양 장난감","6,900원",funny,대형 바퀴벌레 쿠션 115cm 바디필로우 베개,,,스투피드,상품상세설명 참조,,,,,,,,,,,해당사항 없음,02-2069-0672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"""옛다 용돈"" 오만원 팬티 취업 개업 합격 용돈 대박 생일선물 쓸데없는 신박한 선물","12,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"""쓸모없는 선물"" 외계인 가면 왹져 코스튬 분장 생일선물 쓸데없는 신박한 선물","12,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,복불복게임 거짓말 탐지기,"17,900원",funny,거짓말 탐지기,,,젊은이마켓,상품상세설명 참조,,,,,,,,,,,해당사항없음,032 - 672 - 6046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"""생일선물"" ""낙서거울"" 네추럴 우드 감성 탁상거울 (유리마카 증정)","6,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,"""슬기로운 소확행"" 카카오프렌즈 담금주 키트 세트","19,800원",funny,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,초밥인형 쵸바 26cm 18종 (CHOBA),"9,900원",funny,쵸바시리즈(Ver.1~ 3) 초밥인형/쿠션 26cm,상세페이지 참조,상세페이지 참조,(주)에스엔피토이월드,상품상세설명 참조,3세 이상,2016년 10월,상세페이지 참조,상세페이지 참조,CB064R2330-1001,KC자율안전확인,1544-2431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"""골라먹는 재미"" 춘식이 랜덤 도자기 소주잔 4P세트-일반/흑기사/원샷 잔(톡별)","14,800원",funny,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,,,,구매일로부터 1년,(주)에이치앤프렌즈 031-754-7701 (업무시간 10:00~17:00),상품상세설명 참조,상품상세설명 참조,식품위생법에 따른 수입신고를 필함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"""귀여운 선물"" 붕어빵 냥이 키링 고양이 인형 열쇠고리 자동차 키 생일선물 쓸데없는 신박한 선물","9,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,"""퇴사/이직 선물"" ""도비는 자유예요!"" 재밌는 수건 3P 세트 (선물포장)","16,500원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,"""쓸모없는 선물"" 닭발 새다리 닭다리 양말 [킹받는 선물 웃긴 헬스장 타조 닭 치킨 재밌는 쓸데없는 인싸선물","7,500원",funny,,,,Shenzhen Products Company,중국,,,,,,관련법 및 소비자 분쟁해결 규정에 따름,070-8831-4371,,,,,,,,,양말,면 (Cotton),길이: 무릎 약 45-50cm  사이즈 free,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,
146,"""킹받쥬?"" 졸라맨 목걸이 친구 절친 우정 패션 악세사리 생일선물 쓸데없는 신박한 선물","9,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,[4개set]붕어빵파우치겸팔찌+브로치3개 4개set,"7,900원",funny,,,,더 문/박 솔,상품상세설명 참조,,,,,,미개봉 2주,1661-4086,,,,,,,,,지갑,폴리에스테르,상세페이지 기재,세탁에 주의하세요.,,,,,,,,,,,,,,,,,,,,,,,,,
148,"""귀여운 선물"" 힙 애벌레 키링 열쇠고리 자동차 키 인싸 생일선물 쓸데없는 신박한 선물","9,800원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,바잇미x최고심 행운 다람쥐 노즈워크 장난감,"15,900원",funny,상품상세설명 참조,,,바잇미,중국,,,,,,,,,,,해당사항없음,070-4188-1824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,76902 - 맥라렌 엘바 / 레고 스피드챔피언,"30,600원",funny,76902,컨텐츠 참조,ABS수지,(주)레고코리아,기타국가,7+,2021.06,부품을 삼키지 않도록 주의하세요.,26.2cm x 14.1cm x 7.2cm,KC인증 CB061R2195-0020,제품 이상 시 공정거래위원회 고시 소비자분쟁해결기준에 의거 보상합니다.,레고코리아㈜ 080-022-3780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,New 쫀득모찌 빼빼롱 바디필로우 쿠션 100cm (톡별),"22,900원",funny,,상품상세설명 참조,,한빛아이티씨,중국,,,,,,공정거래위원회 고시(소비자분쟁해결기준)에 의거하여 보상해 드립니다.,031-8028-8800,,,,,,,,,,,100cm,,겉면 : 폴리에스터 94% 폴리우레탄 6% 충전재: 폴리에스터 100%,본품1개,"단독세탁, 건조기 울코스",,,,,,,,,,,,,,,,,,,,,,
152,집순이 빅후드담요 곰도리ver.(빅후드담요 +양말set)(톡별)_2,"29,900원",funny,상품상세설명 참조,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
