,name,price,type,제품명,"수입품의 경우 생산자, 수입자 및 제조국",식품의 유형,제조업소의 명칭과 소재지,"제조연월일(포장일 또는 생산연도), 유통기한 ","포장단위별 내용물의 용량(중량), 수량",원재료명 및 함량,영양성분,유전자 변형 식품의 경우 표시,소비자 안전을 위한 주의사항,수입식품인 경우 “수입식품안전관리특별법에 따른 수입신고를 필함”의 문구,소비자 상담 관련 전화번호,품명 및 모델명,의료기기법상 허가 신고 번호 및 광고사전심의필 유무,정격전압/소비전력,출시년월,제조사,제조국,제품의 사용목적 및 사용방법,취급시 주의사항,품질보증기준,A/S 책임자,품목 또는 명칭,"포장단위별 내용물의 용량(중량), 수량, 크기",생산자,농수산물의 원산지 표시에 관한 법률에 따른 원산지,"제조연월일(포장일 또는 생산연도), 유통기한",관련법상 표시사항,상품구성,보관방법 또는 취급방법,기능정보,"섭취량, 섭취방법, 섭취시 주의사항 및 부작용 발생 가능성",영양정보,질병의 예방 및 치료를 위한 의약품이 아니라는 내용의 표현,KC 인증 필 유무,에너지소비효율등급,크기,발행자,유효기간,교환권 공급자,이용조건,이용 가능 매장,환불조건 및 방법,소비자상담 관련 전화번호,"크기,무게",주요 사양,"법에 의한 인증, 허가 등을 받았음을 확인할 수 있는 경우 그에 대한 사항",A/S 책임자와 전화번호 또는 소비자상담 관련 전화번호,용량 또는 중량,제품 주요 사양,사용기한 또는 개봉 후 사용기간,사용방법,화장품제조업자 및 화장품책임판매업자,화장품법에 따라 기재·표시하여야 하는 모든 성분,기능성 화장품의 경우 화장품법에 따른 식품의약품안전처 심사필 유무,사용할 때 주의사항,소비자상담관련 전화번호,제품 소재,색상,치수,품목 및 제품명,용도 및 제형,제조연월 및 유통기한,"중량, 용량, 매수","효과,효능",제조국 및 제조사,어린이 보호포장 대상 제품 유무,제품에 사용된 화학물질 명칭,사용상 주의사항,신고번호 또는 승인번호,품명,구성품,주요 소재,배송 설치 비용,제품구성,세탁방법/취급시 주의사항,서비스 제공 사업자,"취소, 중도해약, 해지 조건 및 환불기준","취소, 환불방법",재질,수입식품안전관리특별법에 따른 수입신고,종류,소재,이동통신 가입조건,도서명,저자,출판사,쪽수,출간일,목차 또는 책소개
37,"""에너지 선물"" 정관장 활기력 20ml x 30병","82,000원",health,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,제조 2022-06-01 / 유통기한 2024-06-01,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,해당사항 없음,상품상세설명 참조,해당사항 없음,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"""품격있는 면역관리"" 정관장 홍삼정에브리타임 리미티드(30일분)","133,000원",health,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,해당사항 없음,상품상세설명 참조,해당사항 없음,상품상세설명 참조,,,,,,,,,,,,,,,제조년일: 2022-07-01 / 유통기간: 2024-07-01,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,국물의한수 온가족 10팩세트(육개장2+갈비탕2+뚝불2+우거지해장국2+황태해장국2),"34,900원",health,상품상세설명 참조,상품상세설명 참조,상세페이지 참고,상세페이지 참고,"상세페이지 참고, 상세페이지 참고","상세페이지 참고, 국물의한수 10팩세트(육개장2+갈비탕2+뚝불2+우거지해장국2+황태해장국2)",상세페이지 참고,상세페이지 참고,해당없음,상품상세설명 참조,해당없음,카카오선물하기 고객센터(배송/결제/환불 등): 1544-2431 / 골드플레이트(상품문의): 070-7098-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"""멀티비타민+오메가3"" [선물세트] 솔가 멀티비타민(남여선택) + 솔가 오메가3 700 (30캡슐)","29,900원",health,솔가 남성용/여성용 멀티비타민&amp;미네랄 / 솔가 오메가-3 700,,건강기능식품,생산자: Solgar Inc. 수입자: (주) 한국솔가,,상세페이지 참조,상세페이지 참조,,해당사항없음,무글루텐/ 방습제는 먹어서는 안됩니다 이상 사례 신고는 1577-2488  / 돼지고기함유/ 방습제는 먹어서는 안됩니다 이상 사례 신고는 1577-2488,해당사항없음,소비자 상담실 : 1877-8113,,,,,,,,,,,,,,,유통기한 : 제조연월일로부터 3년/ 제조연월일 : 입고시마다 매번달라 표기가 어렵습니다. 구입 시 문의바랍니다.,,,,상세페이지 참조,식사 중간 혹은 식사 직후 1일 1회 1정을 물과 함께 섭취 /1일 1회 1캡슈을 물과함께 섭취,상세페이지참조,이 제품은 질병의 예방 및 치료를 위한 의약품이 아닙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"""올인원 명품비타민"" [액상+정제 19종 비타민] GNM 올인원 이뮨 멀티 종합비타민 14병 X 2박스","55,900원",health,상품상세설명 참조,,건강기능식품,상품상세설명 참조,,상품상세설명 참조,상세페이지 참조,,해당사항 없음,상품상세설명 참조,해당사항 없음,자연의품격 1600-8741,,,,,,,,,,,,,,,"입고시마다 제조일자가 달라, 표기가 어려운 점 양해부탁드립니다. 자연의품격 고객센터 1600-8741로 연락주시면 안내해드리겠습니다., 제조일로부터 2년",,,,상세페이지참고,상품상세설명 참조,상세페이지 참조,본 제품은 질병의 예방 및 치료를 위한 의약품이 아닙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"전복에 내 마음 가득 담아, 본죽 전복죽+쇠고기 장조림set","35,000원",health,"전복에 내 마음 가득 담아, 본죽 전복죽+쇠고기 장조림set",동방푸드마스타 / 농업회사법인 올레㈜,즉석조리식품(레토르트식품) / 조림류(멸균제품),(주)동방푸드마스타(충북 음성군 대소면 대금로 105번길 70) / 농업회사법인 올레㈜(경기도 양주시 장흥면 권율로29번길 115-82),제조일 : 상시 제조 제품으로 유통기한 상이함으로 고객센터(1588-6219) 문의 바랍니다. / 유통기한 : 제조일로부터 12개월,상세페이지 참조,"전복죽 : 정제수, 멥쌀(국산), 전복(외국산:필리핀, 말레이시아, 인도네시아 등), 찹쌀(국산), 생미분, 양파, 표고버섯(국산), 바지락엑기스, 새송이버섯, 마늘, 참기름, 정제소금, 기타가공품, 효모추출물, 향미증진제 / 미니장조림: 본장조림소스[정제수,양조간장{탈지대두(외국산:인도산,미국산,중국산)},야채엑기스{육수농축액(소고기:호주산)},설탕,생강,복합조미식품],쇠고기(호주산)","전복죽: 열량95kcal,나트륨400mg(20%),탄수화물17g(5%),당류0g(0%),콜레스테롤5mg(2%),지방1.8g(3%),트랜스지방0g,포화지방0g(0%),단백질3g(5%) / 미니장조림: 열량65kcal,나트륨630mg,탄수화물5g,당류6g,콜레스테롤140mg,지방1g트랜스지방0g,포화지방0.6g,단백질7g",해당사항 없음,포장지가 날카로우니 개봉 및 섭취 시 주의하시기 바랍니다.,해당사항 없음,1588-6219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,프리미엄 샤인머스캣 과일선물세트 2KG 이상 (3송이/특품),"44,900원",health,,,,,,,,,,신선식품 특성상 빠른 섭취 부탁드립니다.,,010-9188-1699,,,,,,,,,,,샤인머스캣,"3개입, 2kg",애플리아,국내산,상시수확중,해당사항없음,"3개입, 2kg",냉장보관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,[VIPS] 빕스 패밀리 선물세트 2호(오리지널폭립 2개+스파이시폭립 1개+볶음밥5종),"49,900원",health,빕스 패밀리 선물세트 2호,"씨제이푸드빌(주), 충북 진천군 광혜원면 광혜원산단길 107",상품상세설명 참조,상품상세설명 참조,상시제조로 기재가 어려우니 02-6956-6877로 연락주시면 확인해드리겠습니다.,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,해당사항 없음,상품상세설명 참조,해당사항 없음,02-6956-6877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"""응원메세지를듬뿍담은"" GNM 국산 배도라지청 스틱 건강배달왔도라지 선물세트 + 쇼핑백증정 / 도라지배즙 도라지청","18,900원",health,상품상세설명 참조,해당사항 없음,액상차,㈜연두 / 전라북도 익산시 함열읍 익산대로 78길 145-28,"입고시마다 제조일자가 달라, 표기가 어려운 점 양해부탁드립니다. 자연의품격 고객센터 1600-8741로 연락주시면 안내해드리겠습니다., 제조일로부터 2년",상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,해당사항 없음,상품상세설명 참조,해당사항 없음,자연의품격 1600-8741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"""메리크리스마스"" 프리미엄 샤인머스캣&애플망고 선물세트 + 윈터 에디션(1.8kg, 4입)","39,800원",health,,,,,,,,,,상품상세설명 참조,,02-6959-8548,,,,,,,,,,,상품상세설명 참조,31.3cmX25.1cmX14cm / 애플망고 3입+샤인머스캣 1입 / 총중량 1.8kg 이내,(주)원월드,애플망고 : 페루 / 샤인머스캣 : 국내산,수입과일 제조연월일 : 포장 전 2일 이내 통관 상품 / 국내산 포장 전 2일 이내 상시수확 / 유통기한 : 신선식품으로 별도의 유통기한이 없습니다. 빠른섭취 부탁드립니다,수입식품안전관리특별법에 따른 수입신고를 필함,애플망고 3입+샤인머스캣 1입,냉장보관 혹은 서늘하고 그늘진 곳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"""면역력이 필요할때"" 얼라이브 멀티비타민 60정 (2개월분) 6종 택1 / 멀티,맨,우먼,50+,밀크씨슬,칼슘","24,900원",health,상품상세설명 참조,,건강기능식품,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,해당 없음,상품상세설명 참조,건강기능식품에 관한 법률에 따른 수입신고를 필함,080-990-3388,,,,,,,,,,,,,,,"제조연월일 : 유통기한으로 부터 2년, 유통기한 : 수입일정에 따른 제품 입고 일정변동으로 인해 고객센터로 연락바랍니다.",,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,본 제품은 질병의 예방 및 치료를 위한 의약품이 아닙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"12년 연속 브랜드 대상, 불로초 하우스 감귤 1.5kg(12.5Brix/특품)","19,800원",health,,,,,,,,,,상품 수령시 파손된 부분은 섭취하지 마시고 고객센터(02-6925-2311)로 연락 부탁드립니다.,,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,제주감귤협동조합,국내산,포장 전 2일 이내 수확,[농수산물] 유전자 변형 : 해당없음 / 지리적 표시사항 : 해당없음,상품상세설명 참조,신선식품으로 수령 후 냉장보관 부탁드립니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,카카오프렌즈 레모나 선물세트(2g*50포 2개입)/생일/감사/축하/위로 선물,"25,900원",health,카카오 레모나산 50포,해당사항 없음,의약외품,경남제약㈜/ 충남 아산시 신창면 서부남로790번길 49,상시제조 / 제조일로부터 24개월이내/정확한 제조일자는 고객센터 070-4652-0816으로 문의 부탁드립니다.,2g x 50포,"분당, 비타민C, 만니톨, 유당(독일산), 히드록시프로필셀룰로스, 레몬향분말[덱스트린, 유당, 레몬향키메이스(천연레몬오일, D-리모넨, 시트랄), 펙틴], 비타민B6, 염산염, 비타민B2, ※우유 함유","1포당 함량(1포(2 g)): 열량 8kcal, 나트륨 0mg(0%), 탄수화물 2g(1%), 당류1g(1%), 단백질 0g(0%), 지방 0g(0%), 트랜스지방 0g, 포화지방 0g(0%), 콜레스테롤 0mg(0%), 비타민C 500mg (500%), 비타민B2 2mg (143%), 비타민B6 4mg (267%) ※( )안의 수치는 1일 영양성분 기준치에 대한 비율임",해당사항 없음,"제품 개봉 시 포장재에 의해 상처를 입을 수 있으니 주의바랍니다. 알레르기 체질이신 분은 성분을 확인 후 섭취하여 주십시오. 어린이 섭취 시 보호자의 지도, 감독하에 섭취시키십시오.",해당사항 없음,080-232-8600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"[반하누] ""주고싶은"" 한우 1등급 등심500g+업진200g+부채200g","109,000원",health,,,,,,,,,,상품 수령 후 7일 이내 섭취를 권장합니다.,,1522-9289,,,,,,,,,,,"""한우에 반하다"" 반하누 - 한우 1등급 등심500g+업진200g+부채200g 선물세트",1등급 - 등심500g+업진200g+부채200g,(주)코리아푸드,대한민국,생산일로 부터 30일,1등급 한우 - 이력번호/품목제조보고번호 상품에 별도 표기,한우 1등급 등심500g+업진200g+부채200g,냉장 제품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"""건강/회복 선물"" 국산 프로폴리스 함유 천연벌꿀 허니스틱(15스틱) 답례품 -23.5이하","27,800원",health,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,[선물추천]8가지 꽃과일향 차(TEA)선물세트 40입(8종x5입),"25,000원",health,상품상세설명 참조,해당사항 없음,프리미엄티컬렉션8종 : 침출차,프리미엄티컬렉션8종 : 상품상세설명참조,프리미엄티컬렉션8종 : 물류 시스템상 유통기한 50% 남은 제품만 출고되도록 하고 있습니다. 가장 최근 생산된 제품으로 순차적 출고됩니다.제품면에 표시된 유통기한을 직접 확인 부탁드립니다. 유통기한은 제조일로부터 1년6개월/정확한 제조연월일과 유통기한 확인하시려면 소비자 상담 관련 전화번호 080-805-5555 로 연락주세요.,프리미엄티컬렉션8종 : 40입(8종 X 5입),상품상세설명 참조,해당없음,해당사항 없음,상품상세설명 참조,해당사항 없음,카카오톡 1:1 문의 또는 오설록 고객센터 전화: 080-805-5555/이메일 상담: help@osulloc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"""맛있는 석류젤리🎁"" 석류 더 콜라겐 젤리 3박스 기프트/선물세트","37,900원",health,석류 더 콜라겐 젤리,코스맥스바이오 / 충청북도 제천시 바이오밸리3로 30,캔디류,코스맥스바이오 / 충청북도 제천시 바이오밸리3로 30,"본 상품은 수시생산으로 정확한 제조연월일 표기가 어렵습니다. 정확한 제조연월일은 소비자상담번호로 문의 바랍니다., 유통기한: 18개월",1박스당 20g x 14포,"석류농축액(스페인산), 생선콜라겐, 로커스트콩검혼합제제(로커스트콩검, 잔탄검, 포도당, 한천, 타마린드검), 히비스커스농축액(대만산), 덩굴월귤농축액(크랜베리농축액/칠레산), 엘라스틴추출물혼합분말, 히알루론산혼합제제(덱스트린, 히알루론산), 베리혼합농축액, 옥수수전분","""열량 50kcal, 나트륨 15mg (1%), 탄수화물 11g (3%), 당류 10g (10%),지방 0.5g미만 (0%), 트랜스지방 0g, 포화지방 0g (0%), 콜레스테롤 0mg (0%), 단백질 1g (2%) * %영양성분기준치: 1일 영양성분기준치에 대한 비율""""""",해당없음,"1일 1회, 1회 1포를 씹어서 섭취하십시오.   ※본 제품은 질병의 예방 및 치료를 위한 의약품이 아닙니다. ※본 제품은 공정거래위원회 고시 소비자분쟁해결 기준에 의거 교환 또는 보상받으실 수 있습니다. ※부정 불량 식품 신고는 국번 없이 1399 ※본 제품은 알류(가금류),메밀, 땅콩, 밀, 고등어, 게, 새우, 돼지고기, 복숭아, 토마토, 아황산류, 호두, 닭고기, 쇠고기, 오징어, 조개류(굴, 전복, 홍합 포함) 잣 등을 원재료로 한 제품과 같은 시설에서 제조되었습니다. [보관 시 주의사항] 1) 습기가 적고 직사광선을 받지 않는 서늘한 곳에 보관하십시오. 2) 영,유아 및 어린이의 손이 닿지 않는 곳에 보관하십시오. 3) 제품 개봉 후에는 흡습이 일어날 수 있으니 즉시 섭취하시기 바랍니다.",해당없음,070-4077-1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"""하루의 피로가 싹"" [선물추천/후기가 증명하는 만족도] 알로코리아 저주파 목 어깨 마사지기 전기 전신 안마기","39,900원",health,,,,,,,,,,,,,저주파 마사지기 ANM1,,5W(max),2021년 3월,알로코리아,중국,,,관련 법 및 소비자 분쟁 해결 기준에 따름,알로코리아 02-761-3096,,,,,,,,,,,,,XU101472-19002D / R-R-OLA-ANM1,,,,,,,,,,"141.5 x 149.4 x 36.6 mm  , 120g",상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"프리미엄 혼합망고 선물세트 (2.2kg내외, 6입)","39,800원",health,,,,,,,,,,상품상세설명 참조,,02-6959-8548,,,,,,,,,,,상품상세설명 참조,"총중량 : 2.2KG 내외, 1박스, 35cm X 24cm X 11.3cm",(주)원월드,애플망고 : 페루 / 골드망고 : 태국,수입과일 제조연월일 : 포장 전 2일 이내 통관 상품 / 유통기한 : 신선식품으로 별도의 유통기한이 없습니다. 빠른섭취 부탁드립니다.,수입식품안전관리특별법에 따른 수입신고를 필함,"2.2kg내외(6입) 태국망고 3알 , 애플망고 3알",냉장보관 혹은 그늘지고 서늘한 곳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,바다대로 신선한 전복1kg 선물세트 (8~10미/가방포함),"55,800원",health,,,,,,,,,,해당없음,,02-529-0972,,,,,,,,,,,전복1kg 선물세트 (8~10미/가방포함),"1kg, 8-10미 ",두꺼비수산,전라남도 완도군,"상시 수확 및 포장, 생물임으로 가급적 빠른 섭취 권장",수산물 해당없음,"1kg, 8-10미 ",수령 후 즉시 섭취 및 냉동 보관 권장 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"[파머스기프트] 프리미엄 과일선물세트7종 올리브1호(샤인머스켓,애플망고)3.4kg이상","59,800원",health,,,,,,,,,,상품 수령시 파손된 부분은 섭취하지 마시고 고객센터(02-6925-2311)로 연락 부탁드립니다,,상품상세설명 참조,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,"자레, PSK, 원월드, 글로벌, 수일통상, Dole 코리아 외",상품상세설명 참조,포장 전 2일 이내 통관 상품,수입식품안전관리특별법에 따른 수입신고를 필함,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,[경복궁] 정성 한그릇 선물세트 (영양갈비탕 2팩+사골육개장+한우사골곰탕 2팩),"52,000원",health,경복궁 정성한그릇 선물세트,상품상세설명 참조,식육추출가공품/비살균제품,상품상세설명 참조,"제조일 : 순차출고제품으로 상이함으로 고객센터 문의 바랍니다., 유통기한 : 제조일로부터 1년",상품상세설명 참조,상품상세설명 참조,해당 사항 없음,해당 사항 없음,"1. 본 제품은 냉동식품으로 제품 수령 후 즉시 냉동보관 하시길 바랍니다. 2. 이미 냉동된 바 있으니 해동 후 재냉동 시키지 마시길 바랍니다. 3. 개봉 한 제품은 반드시 밀봉 후 냉장 보관 하시고 가급적 빨리 드시기 바랍니다. 4. 이 제품은 알레르기 유발 물질인 대두, 밀, 돼지고기, 닭고기, 우유, 새우, 게, 오징어, 조개류(바지락, 굴, 홍합)를 사용한 제품과 같은 제조시설에서 제조하고 있습니다. 5. 한우뼈추출액에 들어가는 한우소고기는 추출하는 과정에 사용되므로 제품의 내용물에서 확인되지는 않습니다.  6. 본 제품은 공정거래위원회 고시 소비자 분쟁해결 기준에 의거, 교환 또는 보상 받으실 수 있습니다.  7. 부정· 불량식품 신고는 국번없이 1399",해당 사항 없음,1644-8647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,다같이 모여 샤샤샤 소고기구이 4종세트(갈비살/치마살/부채살/살치살 각 200g),"39,800원",health,,,,,,,,,,"1) 반품 및 교환 : 제조업소 및 판매업소 2) 본 제품은 소비자기본법에 의한 소비자분쟁해결 기준에 의거 교환 또는 보상 받을 수 있습니다. 3) 부정·불량 식품 신고는 국번없이 1399 4) 충분히 가열해서 섭취하여 주시기 바랍니다. 5) 개봉후 반드시 냉장보관하시고, 가급적 빨리 섭취하시기 바랍니다.    6) 흡습지(핏물제거용)가 들어있으니, 섭취하지 마시고 제거 후 드시기 바랍니다.",,070-4304-0109,,,,,,,,,,,상품상세설명 참조,200g x 4개/ 총 800g,(주)한결엘에스 이천시 마장면 둔터로 24-26,미국산,제조일 : 본 상품은 수시생산으로 정확한 제조연월일 표기가 어렵습니다. / 유통기한 : 제품별도표기,수입식품안전관리특별법에 따른 수입신고를 필함 / 축산법에 따른 등급표기 해당사항없음 / 이력관리에 따른 표시유무 제품에 별도표기,상품상세설명 참조,-2~10 ℃에서 냉장보관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"""1팩에 모두 담은 종합비타민"" 덴프스 트루바이타민(1박스/ 1개월분)","29,800원",health,트루바이타민,,건강기능식품,건강기능식품전문제조원 / 위탁의뢰원: (주)노바렉스 / 충북 청주시 흥덕구 오송읍 오송생명14로 80 /연질캡슐위탁제조원: (주)노바렉스2공장/ 충북 청주시 청원구 오창읍 각리1길 60,,"43.2g(1,440 mg x 30포),1박스","비타민C, 비타민B6염산염, 비타민B1질산염, 비타민B2, dl-α-토코페롤, 비타민A혼합제제(레티닐팔미트산염, 땅콩오일, dl-α-토코페롤), 비타민D3오일(비타민D3, 팜유, dl-α-토코페롤), 달맞이꽃종자유(독일산), 결정셀룰로오스, 말토덱스트린, 유당혼합분말(유당/미국산, 덱스트린), 히드록시프로필메틸셀룰로오스, 이산화규소, 스테아린산마그네슘, 이산화티타늄(착색료), 글리세린지방산에스테르혼합제제용액(글리세린지방산에스테르, 프로필렌글리콜, 구연산), 세이지오일(스페인산) [캡슐기제] : 젤라틴(우피), 글리세린, D-소비톨액, 레드칼라(덱스트린, 홍국색소, 홍화황색소), 세이지오일 [우유, 땅콩, 쇠고기 함유]",,해당사항 없음,"알레르기 유발물질:우유, 땅콩, 쇠고기 함유/이 제품은 알레르기 발생 가능성이 있는 알류(가금류), 메밀, 대두, 밀, 고등어, 게, 새우, 돼지고기, 복숭아, 토마토, 호두, 닭고기, 오징어, 조개류(굴, 전복, 홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다. 이상사례 신고는 1577-2488",해당사항없음,02-6959-7919,,,,,,,,,,,,,,,유통기한:제조일로부터 24개월/본 상품은 수시생산으로 정확한 유통기한은 고객센터로(02-6959-7919) 문의,,,,"[비타민B1]탄수화물과 에너지 대사에 필요, [비타민B2] 체내 에너지 생성에 필요, [비타민B6] 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요, [비타민C] 결합조직 형성과 기능유지에 필요, 철의 흡수에 필요, 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요, [비타민A] 어두운 곳에서 시각 적응을 위해 필요, 피부와 점막을 형성하고 기능을 유지하는데 필요, 상피세포의 성장과 발달에 필요, [비타민D] 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증 발생 위험 감소에 도움을 줌, [비타민E] 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요","1일 1회, 1회 1포를 물과 함께 섭취하십시오. [섭취 시 주의사항] 특정질환, 특이체질, 알레르기체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 나타날 수 있으므로 원료를 확인하시고, 섭취 전에 전문가와 상담하시기 바랍니다. 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담하시기 바랍니다. 이상사례 발생 시 섭취를 중단하고 전문가와 상담하시기 바랍니다.","1회 분량 당 열량 7kcal, 탄수화물 1g(0%), 단백질0g(0%), 지방 0.3g (1%), 나트륨 0mg (0%), 비타민C 500mg(500%), 비타민A 700ugRE(100%), 비타민D 10ug(100%), 비타민E 11mga-TE(100%), 비타민B1 48mg(4,000%), 비타민B2 56mg(4,000%), 비타민B6 60mg(4,000%)",본 제품은 질병의 예방 및 치료를 위한 의약품이 아닙니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
