,name,price,type,제품명,"수입품의 경우 생산자, 수입자 및 제조국",식품의 유형,제조업소의 명칭과 소재지,"제조연월일(포장일 또는 생산연도), 유통기한 ","포장단위별 내용물의 용량(중량), 수량",원재료명 및 함량,영양성분,유전자 변형 식품의 경우 표시,소비자 안전을 위한 주의사항,수입식품인 경우 “수입식품안전관리특별법에 따른 수입신고를 필함”의 문구,소비자 상담 관련 전화번호,품명 및 모델명,재질,구성품,크기,출시년월,제조사,제조국,수입식품안전관리특별법에 따른 수입신고,품질보증기준,A/S 책임자,종류,소재,치수,취급시 주의사항,품목 및 제품명,용도 및 제형,제조연월 및 유통기한,"중량, 용량, 매수","효과,효능",제조국 및 제조사,어린이 보호포장 대상 제품 유무,제품에 사용된 화학물질 명칭,사용상 주의사항,신고번호 또는 승인번호,발행자,유효기간,교환권 공급자,이용조건,이용 가능 매장,환불조건 및 방법,소비자상담 관련 전화번호,품목 또는 명칭,"포장단위별 내용물의 용량(중량), 수량, 크기",생산자,농수산물의 원산지 표시에 관한 법률에 따른 원산지,"제조연월일(포장일 또는 생산연도), 유통기한",관련법상 표시사항,상품구성,보관방법 또는 취급방법,용량 또는 중량,제품 주요 사양,사용기한 또는 개봉 후 사용기간,사용방법,화장품제조업자 및 화장품책임판매업자,화장품법에 따라 기재·표시하여야 하는 모든 성분,기능성 화장품의 경우 화장품법에 따른 식품의약품안전처 심사필 유무,사용할 때 주의사항,소비자상담관련 전화번호,제품 소재,색상,제품구성,세탁방법/취급시 주의사항,"법에 의한 인증, 허가 등을 받았음을 확인할 수 있는 경우 그에 대한 사항",A/S 책임자와 전화번호 또는 소비자상담 관련 전화번호,기능정보,"섭취량, 섭취방법, 섭취시 주의사항 및 부작용 발생 가능성",영양정보,질병의 예방 및 치료를 위한 의약품이 아니라는 내용의 표현,제조연월,KC 인증 필 유무,정격전압/소비전력,"크기,무게",주요 사양,HB21-26-0383,사용연령 또는 체중범위,"취급방법 및 취급시 주의사항, 안전표시 (주의, 경고 등)","크기, 중량",소재/순도/밴드재질,중량,제조자,착용 시 주의사항,보증서 제공 여부,도서명,저자,출판사,쪽수,출간일,목차 또는 책소개
65,'따뜻한 마음처럼' 남녀공용 부드러운 체크 국산 목도리 머플러 40종 택1,"16,900원",samll_gift,,,,,,,,,,,,,,,,,,Jarmonic.Inc 협력업체,상품상세설명 참조,,상품상세설명 참조,02-6956-6788(월~금10:00~17:00/점심시간13:00~14:00),,,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,,드라이크리닝 권장,,,,,,,2022년11월~,,,,,,,,,,,,,,,,,,,
66,"""응원의마음담은"" 페레로로쉐 T8 하트 초콜릿 (8개입)","9,500원",samll_gift,상품상세설명 참조,상품상세설명 참조,초콜릿 가공품,제조원:FERRERO S.P.A 이탈리아 /수입원 :페레로 아시아 리미티드 한국지점,"최신상품으로 수입,판매중, 제조일로부터 1년, 2018년9월1일 이후 제품으로 출고중","상세페이지 참조., 페레로 로쉐 T8 * 1개",상세페이지 참조.,상세페이지 참조.,해당없음,상품상세설명 참조,식품위생법에 따른 수입신고를 필함,1544-2431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"""당충전 선물"" 의리있""당"" 초콜릿 과자 달콤 패키지(톡별)","9,900원",samll_gift,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,해당사항 없음,상품상세설명 참조,수입식품안전관리특별법에 따른 수입신고를 필함,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"""초미니 고성능"" (리뷰선물)""건강선물""인사이디 무선 전동 미니 마사지건 / 부모님 생일 선물 IMG-300","19,900원",samll_gift,,,,,,,,,,,,,인사이디 무선 전동 미니 마사지건 / IMG-300,,,,2022년 08월,(주)제이엘통상,중국,,관련법 및 소비자 분쟁해결 기준에 따름,031-366-6355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R-R-JEL-IMG-300,1500MAH / 7.4V,130*128*44 (mm) / 360g,상품상세설명 참조,,,,,,,,,,,,,,,
69,"""무첨가100%견과만"" 건강 선물하기 셀레늄듬뿍 한줌견과선물세트 30개 1박스","16,900원",samll_gift,"너트리 순수 시그니처 한줌견과 20g x 30개, 총 중량 600g",해당없음,상품상세설명 참조,상품상세설명 참조,"상시 소분,제조하는 상품. 고객센터문의",상품상세설명 참조,상품상세설명 참조,해당사항 없음,해당사항 없음,상품상세설명 참조,수입식품안전관리특별법에 따른 수입신고를 필함,070-7798-4988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"""황금빛 선물"" 페레로로쉐 T18 골드 틴케이스","16,900원",samll_gift,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"""복숭아 그 잡채"" 닥터브라이언 비타민C&D 복숭아맛구미(100구미)","17,900원",samll_gift,닥터브라이언 비타민 C&amp;D 3000(복숭아맛),,건강기능식품,"Pacific Health Sciences Ltd. (미국) , 수입원/판매원: ㈜아이비에스",,"총 300g(3,000mgx100구미)","비타민C, 비타민D3, 포도당시럽, 자당, 설탕, 젤라틴(돼지), 사과농축주스, D-소비톨, 천연향료(복숭아향), 한천, D-α-토코페릴아세테이트, 구연산, 흑당근농축주스, 안나토색소, 정제수",,해당없음,"본 제품은 질병의 예방 및 치료를 위한 의약품이 아닙니다. 본 제품은 공정거래위원회고시 소비자 분쟁 해결 기준에 의거 교환 또는 보상을 받으실 수 있습니다. 이상 사례 신고는 1577-2488, 어린이의 손이 닿지 않는 곳에 보관하십시오, 습기방지제(방습제)는 먹지 마십시오.[돼지고기,복숭아 함유]",건강기능식품에 관한 법률에 따른 수입신고를 필함,1661-3182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"입고시마다 매번달라 표기가 어려우며, 1661-3182으로 연락주시면 자세한 안내가 가능합니다. / 제조일로부터 2년",,,,,,,,,,,,,,,,,,,"[비타민C] 결합조직 형성과 기능유지에 필요, 철의 흡수에 필요, 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요 [비타민D] 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증발생 위험 감소에 도움을 줌","4세이상 1일 3회 1구미씩 씹어서 섭취하세요.특정 질환, 특이 체질, 알레르기 체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 나타날 수 있으므로 원료 확인 및 전문가와 상담 후 섭취 권장, 고칼슘혈증이 있거나 의약품 섭취 및 이상사례 발생 시 섭취를 중단하고 전문가와 상담 권장드립니니다. 또한 4세미만 영·유아 경우 전문가와 상담 후 섭취 하세요.","1일 섭취량당 : 열량 28kcal, 탄수화물 7g (2%), 당류 5g, 비타민C 252mg (252%), 비타민D 9㎍ (90%)",질병의 예방 및 치료를 위한 의약품이 아닙니다.,,,,,,,,,,,,,,,,,,,,
72,생활백서 잠이솔솔 디퓨저 무드등 (에센셜 오일 포함) 2종 택1,"19,900원",samll_gift,,,,,,,,,,,,,생활백서 잠이솔솔 디퓨저 무드등 (에센셜 오일 포함) 2종 택1,,,,,(주)바나나코퍼레이션,중국,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,1644-7299,,,,,,,,,,,,,,,,,,,,,,,,
73,"""비타민선물🎁"" 고려은단 비타민C 1000 180정/이지+비타민D 180정(2종 택1)","18,000원",samll_gift,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,상품상세설명 참조,상품상세설명 참조,,해당사항 없음,상품상세설명 참조,해당사항 없음,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,수시 생산되어 입고 되므로 정확한 제조연월일 및 유통기한을 확인하시려면 고려은단 고객센터(1644-9950)로 문의 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,질병의 예방 및 치료를 위한 의약품이 아닙니다.,,,,,,,,,,,,,,,,,,,,
74,"""나를반기는 귀요미"" 냥냥 댕댕 발매트 미니러그","11,900원",samll_gift,,,,,,,,,,,,,냥냥 댕댕 발매트 미니러그,,,,,상품상세참조,중국,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,해당사항없음,알럽안심센터 / 010-2262-8588,,,,,,,,,,,,,,,,,,,,,,,,
75,"[생일선물] ""당신의 계절을 담아"" 한율 핸드&립 (톡별)","9,000원",samll_gift,,,,,,,,,,,,,,,,,,,상품상세설명 참조,,"본 제품에 이상이 있을 경우, 공정거래위원회 고시에 의거 보상해 드립니다. 고객서비스센터 080-023-5454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,"사용기한 36개월, 개봉후 12개월 이내 사용",상품상세설명 참조,(주)아모레퍼시픽/(주)아모레퍼시픽,상세정보 별도표기,상품상세설명 참조,"사용 중 붉은 반점, 부어오름, 자극등의 트러블이상이 있는 경우 사용을 중지하시고 피부과 전문의에게 상담하십시오. 상처나 피부염이 있는 부위에는 사용을 금하여 주십시오. 직사광선을 피하여 유º소아의 손길이 닿지 않는곳에 보관하여 주십시오",1588-5087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,[남녀공용] 블레르 니트 머플러,"9,900원",samll_gift,,,,,,,,,,,,,,,,,,제이로썸,상품상세설명 참조,,제품에 이상이 있을경우 공정거래위원회 고시 '소비자분쟁해결 기준'에 의해 보상해드립니다.,제이로썸 1644-4715,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"""이탈리아 명품캔디"" 포지타노 과일 캔디 레몬/오렌지 200g 택1 (임덧,임산부,수험생,졸음 사탕)","9,900원",samll_gift,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,제조일 : 상시출고 상품으로 정확한 제조일 안내가 어렵습니다. 고객센터 02-881-5173 로 문의 주시기 바랍니다. 유통기한 : 제조일로부터 1년,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,해당사항 없음,상품상세설명 참조,수입식품안전관리특별법에 따른 수입신고를 필함,02-4124-5300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"""세상에서 가장 행복한 동물"" 쿼카 미니러그 발매트 2종택1","15,900원",samll_gift,,,,,,,,,,,,,상품상세설명 참조,,,,,수입자 : 메세,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,해당없음,메세고객센터 070-7122-6004,,,,,,,,,,,,,,,,,,,,,,,,
79,"""응원 선물🍀"" CLOVER COVY(키링)","4,000원",samll_gift,,,,,,,,,,,,,키링,,,,,어프어프,대한민국,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,해당없음,070-5038-0989,,,,,,,,,,,,,,,,,,,,,,,,
80,"""너와 함께라면 즐거워"" 춘식이 흥부자 캔소맥잔 2P+춘식이 안주접시 1P (톡별)","14,800원",samll_gift,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,식품위생법에 따른 수입신고를 필함,구매일로부터 1년,(주)에이치앤프렌즈 031-754-7701 (업무시간 10:00~17:00),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"""소포장된 프랑스정통쿠키"" 라메르풀라르 쿠키 틴 4종 택 1","13,000원",samll_gift,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,제조일 : 상시출고제품이라 제조일이 상이합니다. 상세한 문의는 고객센터로 연락 바랍니다. 유통기한 : 제조일로부터 12개월,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,수입식품안전관리특별법에 따른 수입신고를 필함,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"""수제 초콜릿"" [블랙프라이데이 30%] 생 초콜릿 밀크 (파베)","14,000원",samll_gift,상품상세설명 참조,상품상세설명 참조,수제초콜릿,부천시 내동 146-2 3층 김보람 초콜릿,"유통기한 제품 뒷면 표시, 유통기한 제품 뒷면 표시/제조일로부터15일","150g+@, 1박스","카카오매스,카카오버터,바닐라향,전지분유,설탕,레시틴(대두)(벨기에산),생크림(프랑스산),리큐르,코코아파우더(프랑스산) *대두,우유 함유",해당 사항 없음,해당 사항 없음,상품상세설명 참조,해당 사항 없음,소비자상담 1899-1474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"""향기촉촉"" 퍼퓸 바디케어 520ml 선물세트 (바디워시+바디로션)","18,000원",samll_gift,,,,,,,,,,,,,,,,,,,한국,,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500ml,520ml",상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,서울화장품,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,1899-9811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,신라명과 마드레느(대)(선물용쇼핑백증정),"13,500원",samll_gift,상품상세설명 참조,상품상세설명 참조,빵류(케이크류),신명식품 : 경기도 군포시 산본로 86번안길 24,상세기술서참조,"480g (15gX32봉), ea",상세기술서참조,상세기술서참조,해당없음,상품상세설명 참조,해당없음,031-441-6265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,[선물제격] 보르딘 콜드브루 더치커피 알록달록 앰플 12종세트 (25ml*12개),"19,900원",samll_gift,상품상세설명 참조,상품상세설명 참조,액상커피,보르딘F&amp;B/경북 경산시 백천길27,"본 상품은 상시제조 상품으로 정확한 제조연월일 정보 제공이 어렵습니다.(내부제품표기), 제조일부터 3개월","25ml, 1box(25ml*12개)","콜드브루커피 추출액(고형분3.3%,정제수,원두:블렌드,탄자니아,만델링,스폐셜티,과테말라안티구아,케냐,예가체프,따라쥬,미디엄블렌드,브라질내츄럴,콜롬비아수프리모,클래식블랙)","열량0kcal,나트륨0mg,탄수화물0g,당류0g,지방0g,트랜스지방0g,포화지방0g,콜레스테롤0mg,단백질0mg",해당없음,상품상세설명 참조,해당없음,1544-2431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,[비건선물/쇼핑백 증정] 끈적임 없는 센티드 핸드크림 50ml (2종 택1),"7,900원",samll_gift,,,,,,,,,,,,,,,,,,,상품상세설명 참조,,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"""오늘도 따뜻할 거예요"" 히트템 핫팩 30매+메세지박스+손소독제 5개입 (톡별) (heattem)","11,900원",samll_gift,,,,,,,,,,,,,히트템옐로우(온열팩),,,,,다봉산업(주),상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,자율안전확인신고 B681J001-17001,다봉산업(주) 1800-8994,,,,,,,,,,,,,,,,,,,,,,,,
88,"""생일선물추천"" 꿀잠 파자마 20종/수면잠옷추가","12,900원",samll_gift,,,,,,,,,,,,,,,,,,제이나나,상품상세설명 참조,,1주일,제이나나 1644-4715,,,상세페이지 참고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상세페이지 참고,상세페이지 참고,,상세페이지 참고,,,,,,,22년 6월 이후,,,,,,,,,,,,,,,,,,,
89,"""달콤한 하루"" 페레로로쉐 T8 사각 (8개입)","8,900원",samll_gift,페레로로쉐 T8,상품상세설명 참조,초콜릿가공품,"수입원 : 페레로 아시아 리미티드 한국지점 서울 특별시 서초구 마방로 10길5,13층 1302(양재동,태석빌딩) 판매원 : 매일유업(주) 경기도 평택시 진위면 진위서로 63","기재되어 있지않음, 입고시마다 변경이 잦아 판매자 측으로 연락주시면 빠른 답변드릴 수 있도록 하겠습니다.",상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,해당사항없음,"부정, 불량식품 신고는 국번없이 1399",수입식품안전관리특별법에 따른 수입신고를 필함,010-2423-7215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"""Best 선물"" ""건강기원"" 종합비타민 3개입 선물세트","14,900원",samll_gift,"[톡별] ""건강기원"" 종합비타민 3개입 선물세트",,건강기능식품,상품상세설명 참조,,상세컨텐츠 참조,상세컨텐츠 참조,,해당사항 없음,"*본 제품은 공정거래위원회 고시 소비자분쟁해결 기준에 의거 교환 또는 보상 받으실 수 있습니다. *알레르기 체질이신 경우 컨텐츠 내 원재료 및 함량 성분을 확인 후 섭취하시기 바랍니다. *본 제품은 알레르기발생 가능성이 있는 알류(가금류), 우유, 메밀, 땅콩, 대두, 밀, 고등어, 게,  새우, 돼지고기, 복숭아, 토마토, 아황산류, 호두, 닭고기, 쇠고기, 오징어, 조개류(굴, 전복, 홍합을 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.*제품에 별도 포장되어 들어있는 방습제(신선도유지제,방부제)는 먹어서는 안됩니다.*이상사례 신고는 1577-2488",해당사항 없음,1588-7056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"입고시마다 매번달라 표기가 어려우며, 1588-7056으로 연락주시면 자세한 안내가 가능합니다., 제조일로부터 2년",,,,,,,,,,,,,,,,,,,상세컨텐츠 참조,상세컨텐츠 참조,상세컨텐츠 참조,본 제품은 질병의 예방 및 치료를 위한 의약품이 아닙니다,,,,,,,,,,,,,,,,,,,,
91,"""너처럼 귀엽다"" 애교만점 곰돌이 크리스마스선물 과자선물세트 (톡별)","9,900원",samll_gift,상품상세설명 참조,상품상세설명 참조,상세페이지기재,상세페이지기재,"상세페이지기재, 상세페이지기재","상세페이지기재, 상세페이지기재",상세페이지기재,상세페이지기재,상세페이지기재,상품상세설명 참조,상세페이지기재,031-790-1784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"[홀리데이 에디션] 프리미엄 사과 판매 1위, 고당도 황금사과 2kg이상 (6-8입)","18,900원",samll_gift,,,,,,,,,,상품 수령시 파손된 부분은 섭취하지 마시고 고객센터(02-6925-2311)로 연락 부탁드립니다.,,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,온브릭스,국내산,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,신선식품으로 수령 후 냉장보관 부탁드립니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"""응원메세지를듬뿍담은"" GNM 국산 배도라지청 스틱 건강배달왔도라지 선물세트 + 쇼핑백증정 / 도라지배즙 도라지청","18,900원",samll_gift,상품상세설명 참조,해당사항 없음,액상차,㈜연두 / 전라북도 익산시 함열읍 익산대로 78길 145-28,"입고시마다 제조일자가 달라, 표기가 어려운 점 양해부탁드립니다. 자연의품격 고객센터 1600-8741로 연락주시면 안내해드리겠습니다., 제조일로부터 2년",상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,해당사항 없음,상품상세설명 참조,해당사항 없음,자연의품격 1600-8741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"""안아주라냥"" 고양이 몰캉몰캉 스트레스해소 마약쿠션 (톡별)","15,900원",samll_gift,,,,,,,,,,,,,,,,,,제이에스컴퍼니,대한민국,,상품 수령일로부터 7일 이내,(주)오비유,,,"38(가로) x 30(세로) x 18(높이)cm, 오차±3cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[겉] 100% 극세사 모찌원단, [속] 마이크로화이바 솜","연그레이, 연핑크",본품,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,
95,[향기선물] 캐스키드슨 바디미스트 & 핸드크림 세트,"14,900원",samll_gift,,,,,,,,,,,,,,,,,,,상품상세설명 참조,,본 제품에 이상이 있을 경우 공정거래위원회 고시 '소비자 분쟁 해결 기준'에 의거 보상해 드립니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"핸드크림 50ml, 바디미스트 100ml",모든 피부,"제조일로부터 2년이내의 상품을 순차적으로 배송, 개봉일로부터 12개월 (각 제품에 별도 표기)",핸드크림: 건조함을 느낄 때마다 적당량을 손에 부드럽게 펴발라 흡수시켜 줍니다. 바디미스트: 건조하다고 느껴지는 신체부위에 일정 거리를 두고 분사시켜 줍니다.,Heathcote &amp; Ivory Ltd./(주)에스엘라이프,상품상세설명 참조,해당없음,"1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은반점, 부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것 2. 상처가 있는 부위 등에는 사용을 자제할 것 3. 보관 및 취급 시의 주의사항 가) 어린이의 손이 닿지 않는 곳에 보관할 것 나)직사광선을 피해서 보관할 것",070-5129-2986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"""맛있는 면역선물"" 캐나다 허벌랜드 면역부스트 식물성 구미젤리비타민/ 30일분","16,900원",samll_gift,면역 부스트 구미,,"건강기능식품(아연, 비타민D3, 비타민C 보충용)","수입원: (주)헬스앤뉴트리션/ 경기도 성남시 분당구 판교역로 240, 410-3 제조자 제조원: HerbaLand Naturals Inc., Richmond, BC, Canada  제조국: 캐나다",,"66g(2.2g x 30 구미), 1개","글루콘산아연, 비타민 C, 비타민 D3, 이소말토올리고당, 정제수, 에리스리톨, 자일리톨, 펙틴, 천연향료(스트로베리), 블랙엘더베리추출물, 구연산삼나트륨, 해바라기씨유, 블랙당근농축액, 스테비아잎 추출물, 혼합과일분말(스트로베리, 라즈베리, 블루베리, 체리, 석류, 크랜베리, 오렌지, 레몬)",,해당 없음,"특정성분에 알레르기가 있는 분은 원료명을 확인하신 후 섭취하십시오.  고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담하십시오. 이상사례 발생시 섭취를 중단하고 전문가와 상담하십시오. 섭취량 및 섭취방법을 확인하시고, 과량 섭취하지 않도록 주의하십시오.",수입식품안전관리특별법에 따른 수입신고를 필함.,1666-6768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"상시 제조 상품, 유통기한: 제조일로부터 30개월까지",,,,,,,,,,,,,,,,,,,[아연] 정상적인 면역기능에 필요 [비타민C] 결합조직형성과 기능유지에 필요. 황산화작용을 하여 유해산소로부터 세포를 보호하는데 필요 [비타민D] 칼슘과 인이 흡수되고 이용되는데 필요. 뼈의 형성과 유지에 필요,[섭취량 및 섭취방법] 1일 1회 1개를 씹어서 섭취하십시오. [보관방법] 건조하고 서늘한 곳에 보관하십시오.  부작용 발생 가능성 여부: 과다섭취 시 부작용이 나타날 수 있습니다.,"1일 섭취량: 1개(2.2 g)  총 30일 분량 1일 섭취량 당 함량: 열량 5kcal, 탄수화물 1.5 g(0%), 당류 1 g(1%)  [기능성분] 비타민 C 80 mg(80%), 비타민 D 12.5㎍(125%), 아연 4.3 mg(51%)  ※ ( )안의 수치는 1일 영양성분 기준치에 대한 비율임.",본 제품은 질병의 예방 및 치료를 위한 의약품이 아닙니다.,,,,,,,,,,,,,,,,,,,,
97,"""생일 축하해"" [HaBee Birthday] 버츠비 립밤 듀오+손거울 세트 (톡별)","9,800원",samll_gift,,,,,,,,,,,,,,,,,,,미국,,본 상품에 이상이 있을 경우 공정거래위원회고시 소비자분쟁해결기준에 의하여 보상해 드립니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25g x2,모든 피부 타입,"유통기한 미개봉시 3년, 개봉시 1년 이내 사용 권장",입술이 건조할시 수시로 입술에 펴발라줍니다.,제조사: 버츠비인크 / 책임판매업자: 크로락스홍콩리미티드 한국지점,상품상세설명 참조,해당없음,"1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점,부어오름 또는 가려움증 등의 이상 증상이나 부작용이 있는 경우 전문의 등과 상담할 것 2) 상처가 있는 부위 등에는 사용을 자제할 것  3) 보관 및 취급 시의 주의사항 가) 어린이의 손이 닿지 않는 곳에 보관할 것 나) 직사광선을 피해서 보관할 것",고객센터: 070-4018-2260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"""너에게 하고픈 말"" 힘내삼 6년근 고려홍삼정 홍삼스틱 30포x10ml (톡별)","19,900원",samll_gift,상품상세설명 참조,,건강기능식품(홍삼제품),농업회사법인(주)개성상인/경기도 양주시 은현면 삼일로 342번길 101-34,,"10ml, 30포",상세페이지 참조,,해당사항없음,상품상세설명 참조,해당사항없음,070-8972-5322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,수시로 입고됩니다. 070-8972-5322 문의주시길 바랍니다. / 제조일로부터 2년,,,,,,,,,,,,,,,,,,,상세페이지 참조,상세페이지 참조,상세페이지 참조,질병의 예방 및 치료를 위한 의약품이 아닙니다.,,,,,,,,,,,,,,,,,,,,
99,"[1+1/총2개] ""향기가득"" 코코도르 디퓨저 + 플라워 디퓨저 120ml","9,900원",samll_gift,,,,,,,,,,,,02-3445-0101,,,,,,,,,,,,,,,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,상품상세설명 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"""생일선물/집들이선물"" 나를 반기는 작은 댕댕이 강아지 애착 인형 50cm 쿠션 방석","17,900원",samll_gift,,,,,,,,,,,,,상품상세설명 참조,,,,,상품상세설명 참조,중국,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상품상세설명 참조,070-4300-6757 / 데미무드 카톡 채널,,,,,,,,,,,,,,,,,,,,,,,,
